media,pdf,mp3
Appendix 01 - Introduction: How to Use this Handbook ,http://www.dw.de/popups/pdf/280386/introduction.pdf,
Appendix 02 - Contents ,http://www.dw.de/popups/pdf/21753278/contents.pdf,
Appendix 03 - Summary of grammar ,http://www.dw.de/popups/pdf/21753293/summary-of-grammar-pdf.pdf,
Appendix 04 - Key to the exercises ,http://www.dw.de/popups/pdf/21753302/key-to-the-exercises-pdf.pdf,
Appendix 05 - Alphabetical list of vocabulary ,http://www.dw.de/popups/pdf/21753335/alphabetical-list-of-vocabulary-pdf.pdf,
Appendix 06 - Translations of the dialogues,http://www.dw.de/popups/pdf/280436/translations-of-the-dialogues-pdf.pdf,
Chapter 01 - That’s a great idea!,http://www.dw.de/popups/pdf/245618/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion01_dwdownload.mp3
Chapter 02 - What would you like to do?,http://www.dw.de/popups/pdf/245620/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion02_dwdownload.mp3
"Chapter 03 - Brandenburg: Water, sand and potatoes",http://www.dw.de/popups/pdf/245622/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion03_dwdownload.mp3
Chapter 04 - A poem: Herr von Ribbeck auf Ribbeck,http://www.dw.de/popups/pdf/245625/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion04_dwdownload.mp3
Chapter 05 - The poem was banned,http://www.dw.de/popups/pdf/16782630/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion05_dwdownload.mp3
Chapter 06 - After the fall of the Wall,http://www.dw.de/popups/pdf/245637/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion06_dwdownload.mp3
Chapter 07 - A multi-cultural society,http://www.dw.de/popups/pdf/245638/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion07_dwdownload.mp3
Chapter 08 - The UFA film studios in Babelsberg,http://www.dw.de/popups/pdf/16782747/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion08_dwdownload.mp3
"Chapter 09 - ""A medicine woman""",http://www.dw.de/popups/pdf/245650/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion09_dwdownload.mp3
Chapter 10 - Mecklenburg-Vorpommern: Water and shipyards,http://www.dw.de/popups/pdf/245651/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion10_dwdownload.mp3
Chapter 11 - The island of Rügen,http://www.dw.de/popups/pdf/245652/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion11_dwdownload.mp3
Chapter 12 - Klaus Störtebecker,http://www.dw.de/popups/pdf/245653/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion12_dwdownload.mp3
Chapter 13 - A rowing club,http://www.dw.de/popups/pdf/2787422/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion13_dwdownload.mp3
Chapter 14 - Living in a high-rise,http://www.dw.de/popups/pdf/245667/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion14_dwdownload.mp3
Chapter 15 - Sachsen: Music and Industry,http://www.dw.de/popups/pdf/245669/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion15_dwdownload.mp3
Chapter 16 - Environmental problems,http://www.dw.de/popups/pdf/245670/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion16_dwdownload.mp3
Chapter 17 - A walk through Leipzig,http://www.dw.de/popups/pdf/245671/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion17_dwdownload.mp3
Chapter 18 - Porcelain - the white gold,http://www.dw.de/popups/pdf/245672/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion18_dwdownload.mp3
"Chapter 19 - Sachsen-Anhalt: Nature, Industry and Religion",http://www.dw.de/popups/pdf/245677/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion19_dwdownload.mp3
Chapter 20 - “The Brocken is German”,http://www.dw.de/popups/pdf/245678/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion20_dwdownload.mp3
Chapter 21 - Coal - the black gold,http://www.dw.de/popups/pdf/245679/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion21_dwdownload.mp3
Chapter 22 - ThUringen: The green heart,http://www.dw.de/popups/pdf/245680/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion22_dwdownload.mp3
Chapter 23 - The legend of Barbarossa,http://www.dw.de/popups/pdf/245681/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion23_dwdownload.mp3
Chapter 24 - Luther in the Wartburg castle,http://www.dw.de/popups/pdf/245682/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion24_dwdownload.mp3
Chapter 25 - The Blue Flower,http://www.dw.de/popups/pdf/245683/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion25_dwdownload.mp3
Chapter 26 - A magic word,http://www.dw.de/popups/pdf/245684/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie4/eng/DWN_Englisch_Serie4_Lektion26_dwdownload.mp3
